"","Gene","kTotal"
"LOC105828512","LOC105828512",40.5764756810313
"LOC105828513","LOC105828513",368.726866976813
"LOC105828514","LOC105828514",531.879005533497
"LOC105828515","LOC105828515",451.897573428862
"LOC105828516","LOC105828516",20.2604810049645
"LOC105828517","LOC105828517",48.6308947166645
"LOC105828518","LOC105828518",8.69992711410316
"LOC105828519","LOC105828519",10.8632442684353
"LOC105828520","LOC105828520",50.874238371694
"LOC105828521","LOC105828521",62.7997874684104
"LOC105828522","LOC105828522",47.7406235429241
"LOC105828523","LOC105828523",42.8585442373336
"LOC105828524","LOC105828524",37.1890801133605
"LOC105828525","LOC105828525",14.9427103470227
"LOC105828526","LOC105828526",363.026626179962
"LOC105828527","LOC105828527",97.2319130038937
"LOC105828528","LOC105828528",82.9612374884447
"LOC105828529","LOC105828529",78.804076846532
"LOC105828530","LOC105828530",214.760727580165
"LOC105828531","LOC105828531",65.3370625301541
"LOC105828532","LOC105828532",99.3412520639192
"LOC105828533","LOC105828533",69.8924014063418
"LOC105828535","LOC105828535",14.0834960655577
"LOC105828536","LOC105828536",12.8493032399048
"LOC105828537","LOC105828537",9.46866512523566
"LOC105828539","LOC105828539",9.92329989107195
"LOC105828540","LOC105828540",189.2885066093
"LOC105828541","LOC105828541",4.39947450183139
"LOC105828542","LOC105828542",7.12212400898093
"LOC105828543","LOC105828543",367.172879452076
"LOC105828544","LOC105828544",172.894642162023
"LOC105828545","LOC105828545",498.229405343634
"LOC105828546","LOC105828546",141.149007119727
"LOC105828547","LOC105828547",129.439476284381
"LOC105828548","LOC105828548",220.885967028307
"LOC105828549","LOC105828549",207.508668756269
"LOC105828550","LOC105828550",26.2639491607902
"LOC105828551","LOC105828551",134.282330699591
"LOC105828552","LOC105828552",39.2818619723565
"LOC105828553","LOC105828553",140.498367741876
"LOC105828554","LOC105828554",2.04966119522754
"LOC105828555","LOC105828555",11.7029155589958
"LOC105828556","LOC105828556",30.7220359495229
"LOC105828557","LOC105828557",114.670554154907
"LOC105828558","LOC105828558",9.83487538217118
"LOC105828559","LOC105828559",800.6982475464
"LOC105828560","LOC105828560",6.42602356463341
"LOC105828561","LOC105828561",96.9097760806132
"LOC105828562","LOC105828562",16.3655853329369
"LOC105828563","LOC105828563",143.986800851053
"LOC105828564","LOC105828564",381.207789495721
"LOC105828565","LOC105828565",9.26098647363229
"LOC105828566","LOC105828566",374.8184461608
"LOC105828567","LOC105828567",31.8205033467779
"LOC105828568","LOC105828568",52.2637009738487
"LOC105828569","LOC105828569",82.8872548782044
"LOC105828570","LOC105828570",10.1114602272944
"LOC105828571","LOC105828571",4.97124526156387
"LOC105828572","LOC105828572",185.048438924484
"LOC105828573","LOC105828573",4.3175564349404
