"","Gene","kTotal"
"LOC100576433","LOC100576433",88.8187139563174
"LOC100576434","LOC100576434",2.07332067707552
"LOC100576435","LOC100576435",25.8584488290217
"LOC100576436","LOC100576436",29.2089750876766
"LOC100576438","LOC100576438",253.728601360247
"LOC100576439","LOC100576439",28.1837390879146
"LOC100576440","LOC100576440",16.1157612795103
"LOC100576444","LOC100576444",13.780646869697
"LOC100576445","LOC100576445",257.317403579652
"LOC100576446","LOC100576446",3.31527137356899
"LOC100576447","LOC100576447",21.2173634273954
"LOC100576449","LOC100576449",89.698503208537
"LOC100576452","LOC100576452",9.64204142452403
"LOC100576453","LOC100576453",3.01740552699178
"LOC100576454","LOC100576454",17.4020215130439
"LOC100576455","LOC100576455",67.7925040898083
"LOC100576457","LOC100576457",34.5697078113356
"LOC100576458","LOC100576458",6.601564618261
"LOC100576460","LOC100576460",417.886144050227
"LOC100576461","LOC100576461",32.3691900688385
"LOC100576462","LOC100576462",3.66338446614624
"LOC100576466","LOC100576466",24.6049207843221
"LOC100576467","LOC100576467",47.4128411673134
"LOC100576471","LOC100576471",9.77225601682235
"LOC100576472","LOC100576472",70.5128654008982
"LOC100576473","LOC100576473",42.3042461218017
"LOC100576476","LOC100576476",381.589245286279
"LOC100576478","LOC100576478",17.3946076786301
"LOC100576482","LOC100576482",83.5147547524477
"LOC100576484","LOC100576484",53.9585734487128
"LOC100576487","LOC100576487",100.37093544136
"LOC100576488","LOC100576488",28.1119374446323
"LOC100576492","LOC100576492",160.653494203413
"LOC100576493","LOC100576493",47.2662596179346
"LOC100576497","LOC100576497",82.9425629594256
"LOC100576498","LOC100576498",17.160479492808
"LOC100576502","LOC100576502",41.7931216798232
"LOC100576503","LOC100576503",5.71040777666974
"LOC100576504","LOC100576504",28.1940071144208
"LOC100576505","LOC100576505",41.1763259583297
"LOC100576506","LOC100576506",32.2737461878365
"LOC100576508","LOC100576508",34.9145567370828
"LOC100576512","LOC100576512",22.0559603345271
"LOC100576513","LOC100576513",3.40608198127636
"LOC100576514","LOC100576514",18.7691003931654
"LOC100576515","LOC100576515",18.446522608749
"LOC100576517","LOC100576517",37.26137126332
"LOC100576519","LOC100576519",67.8804890084372
"LOC100576520","LOC100576520",46.6794867176322
"LOC100576522","LOC100576522",10.4499120907272
"LOC100576524","LOC100576524",217.228892099577
"LOC100576527","LOC100576527",65.8040605471702
"LOC100576528","LOC100576528",81.3373631644607
"LOC100576529","LOC100576529",95.1174567951461
"LOC100576530","LOC100576530",41.8805384724576
"LOC100576531","LOC100576531",11.8129579069855
"LOC100576532","LOC100576532",60.725528865791
"LOC100576534","LOC100576534",15.9329009363256
"LOC100576535","LOC100576535",107.427777691241
"LOC100576536","LOC100576536",22.0284184962977
"LOC100576537","LOC100576537",62.511137494286
"LOC100576540","LOC100576540",26.5252611543639
"LOC100576542","LOC100576542",16.5371778058498
"LOC100576543","LOC100576543",18.1587991571959
"LOC100576544","LOC100576544",22.2902354736139
"LOC100576546","LOC100576546",55.4544966987433
"LOC100576547","LOC100576547",50.8500443195973
"LOC100576549","LOC100576549",24.2501732503299
"LOC100576552","LOC100576552",15.5881947976705
"LOC100576554","LOC100576554",49.7058882159847
"LOC100576555","LOC100576555",122.535244471047
"LOC100576557","LOC100576557",157.286090114291
"LOC100576559","LOC100576559",10.8103114240536
"LOC100576562","LOC100576562",120.45453445108
"LOC100576563","LOC100576563",12.4547611220298
"LOC100576564","LOC100576564",102.467492961568
"LOC100576565","LOC100576565",49.3151698177392
"LOC100576568","LOC100576568",294.768766303038
"LOC100576569","LOC100576569",59.740037612407
"LOC100576571","LOC100576571",101.644253756094
"LOC100576572","LOC100576572",133.45193645609
"LOC100576573","LOC100576573",239.727394009368
"LOC100576576","LOC100576576",37.6270966021244
"LOC100576577","LOC100576577",15.6788076229784
"LOC100576584","LOC100576584",397.958275737797
"LOC100576585","LOC100576585",35.0153364691897
"LOC100576586","LOC100576586",46.3281140895038
"LOC100576590","LOC100576590",122.182823672231
"LOC100576591","LOC100576591",12.7214459558692
"LOC100576592","LOC100576592",9.36052742526002
"LOC100576593","LOC100576593",133.205440382829
"LOC100576597","LOC100576597",3.58493270457578
"LOC100576599","LOC100576599",9.59242443970282
"LOC100576600","LOC100576600",79.1260542208616
"LOC100576601","LOC100576601",24.7631412753542
"LOC100576602","LOC100576602",99.3965719584019
"LOC100576603","LOC100576603",16.8092640471168
"LOC100576606","LOC100576606",58.0029172227145
"LOC100576608","LOC100576608",142.493320455201
"LOC100576609","LOC100576609",3.49138763197174
"LOC100576610","LOC100576610",16.6989570239778
"LOC100576612","LOC100576612",35.7401758679861
"LOC100576614","LOC100576614",21.6151038214602
"LOC100576615","LOC100576615",291.576280200999
"LOC100576617","LOC100576617",4.61057010723871
"LOC100576618","LOC100576618",104.30544397807
"LOC100576619","LOC100576619",80.6308233803313
"LOC100576620","LOC100576620",60.3930517001751
"LOC100576621","LOC100576621",19.5845610630024
"LOC100576623","LOC100576623",36.3187138346753
"LOC100576625","LOC100576625",223.533296201047
"LOC100576626","LOC100576626",12.4909057703924
"LOC100576627","LOC100576627",5.63277555442112
"LOC100576629","LOC100576629",126.212400339166
"LOC100576630","LOC100576630",6.80046206715956
"LOC100576631","LOC100576631",30.2628747998202
"LOC100576637","LOC100576637",4.69216081718444
"LOC100576638","LOC100576638",101.012129352181
"LOC100576640","LOC100576640",24.7954051291309
"LOC100576641","LOC100576641",9.22350978360656
"LOC100576644","LOC100576644",39.7189541307625
"LOC100576645","LOC100576645",31.3716708244737
"LOC100576646","LOC100576646",9.24587647241722
"LOC100576647","LOC100576647",129.654369023789
"LOC100576649","LOC100576649",21.0175884241338
"LOC100576650","LOC100576650",22.1856224048616
"LOC100576657","LOC100576657",30.5548978950575
"LOC100576660","LOC100576660",10.5887666059638
"LOC100576661","LOC100576661",11.9018136984051
"LOC100576662","LOC100576662",6.95509693438519
"LOC100576663","LOC100576663",31.9914630652168
"LOC100576666","LOC100576666",26.4096639075251
"LOC100576667","LOC100576667",42.5600701887472
"LOC100576669","LOC100576669",118.301869627564
"LOC100576671","LOC100576671",109.360306882968
"LOC100576677","LOC100576677",6.5397568663916
"LOC100576679","LOC100576679",3.97911882518723
"LOC100576680","LOC100576680",199.653990503042
"LOC100576683","LOC100576683",271.792484460089
"LOC100576687","LOC100576687",99.0492473352296
"LOC100576688","LOC100576688",285.593889796122
"LOC100576689","LOC100576689",198.295791107138
"LOC100576690","LOC100576690",3.68656051046167
"LOC100576694","LOC100576694",78.2290109883928
"LOC100576696","LOC100576696",13.0735961149873
"LOC100576697","LOC100576697",129.590847444187
"LOC100576698","LOC100576698",39.7310142583633
"LOC100576699","LOC100576699",35.5371734876723
"LOC100576700","LOC100576700",13.3316133434309
"LOC100576702","LOC100576702",2.61139758082782
"LOC100576703","LOC100576703",64.8366212303218
"LOC100576705","LOC100576705",426.40392782095
"LOC100576706","LOC100576706",146.701016295704
"LOC100576708","LOC100576708",157.157352359304
"LOC100576709","LOC100576709",70.3798170207087
"LOC100576715","LOC100576715",7.84723258963267
"LOC100576717","LOC100576717",114.175576297338
"LOC100576718","LOC100576718",227.52520212643
"LOC100576719","LOC100576719",401.544356943543
"LOC100576721","LOC100576721",43.2194481159233
"LOC100576722","LOC100576722",20.8616724107112
"LOC100576726","LOC100576726",63.937354330119
"LOC100576730","LOC100576730",25.9345525393104
"LOC100576732","LOC100576732",312.818965241593
"LOC100576733","LOC100576733",8.32048994540665
"LOC100576734","LOC100576734",55.0932391138978
"LOC100576735","LOC100576735",22.4033542077602
"LOC100576736","LOC100576736",20.4226396173844
"LOC100576737","LOC100576737",435.281895244778
"LOC100576738","LOC100576738",19.5941438508392
"LOC100576740","LOC100576740",37.6794966866372
"LOC100576741","LOC100576741",4.53656972668791
"LOC100576742","LOC100576742",279.113586430828
"LOC100576744","LOC100576744",10.2980334651076
"LOC100576745","LOC100576745",59.6989635327348
"LOC100576746","LOC100576746",1.900772624845
"LOC100576747","LOC100576747",68.8320033023281
"LOC100576748","LOC100576748",13.0566578075474
"LOC100576750","LOC100576750",17.9250787594531
"LOC100576752","LOC100576752",207.652482812271
"LOC100576754","LOC100576754",13.8243605726727
"LOC100576755","LOC100576755",61.6564771845728
