"","Gene","tau"
"LOC409548","LOC409548",0.440800842558306
"LOC724914","LOC724914",0.842579986385296
"Gstcd","Gstcd",0.330458505676318
"LOC102654884","LOC102654884",0.686987893773482
"LOC724913","LOC724913",0.503436179021223
"LOC727193","LOC727193",0.997685494732678
"LOC727192","LOC727192",0.521684278174022
"LOC102654882","LOC102654882",0.637642002682653
"LOC411330","LOC411330",0.912820992154737
"LOC411336","LOC411336",0.630301705580394
"LOC411335","LOC411335",0.65680836915092
"LOC411338","LOC411338",0.687252917617674
"LOC409096","LOC409096",0.550970825450563
"LOC100577268","LOC100577268",0.828087798505264
"LOC100577269","LOC100577269",0.761604188799514
"LOC409093","LOC409093",0.29119153944681
"LOC409092","LOC409092",0.670537361826266
"LOC409091","LOC409091",0.654785238839086
"LOC409090","LOC409090",0.899476175014536
"LOC100577262","LOC100577262",0.919412637555859
"LOC100577263","LOC100577263",0.387299104950563
"LOC100577260","LOC100577260",0.680287081339713
"LOC100577261","LOC100577261",0.93841642228739
"LOC100577266","LOC100577266",0.767305936073059
"LOC102655605","LOC102655605",0.853694245829077
"LOC100577264","LOC100577264",0.573370010534941
"LOC100577265","LOC100577265",0.697341453273657
"LOC102655603","LOC102655603",0.298992401895057
"LOC727199","LOC727199",0.949928255131884
"LOC552000","LOC552000",0.857719422151803
"LOC552793","LOC552793",0.697347138954261
"LOC102655600","LOC102655600",0.44040495122551
"LOC107966069","LOC107966069",0.825351989623447
"LOC107966068","LOC107966068",0.942520772357364
"LOC107966061","LOC107966061",0.683316404266125
"LOC107966060","LOC107966060",0.915249795249795
"LOC107966063","LOC107966063",0.94023569023569
"LOC107966062","LOC107966062",0.873326936915327
"LOC107966065","LOC107966065",1
"LOC107966064","LOC107966064",0.578636363636364
"LOC107966067","LOC107966067",0.7887104743083
"LOC107966066","LOC107966066",0.895411519464383
"LOC552657","LOC552657",0.8696867983974
"LOC102655609","LOC102655609",0.75748203686348
"LOC107965369","LOC107965369",0.850831110199056
"LOC411268","LOC411268",0.322047161115987
"LOC724598","LOC724598",0.371317689831724
"LOC411841","LOC411841",0.498731503874917
"LOC411843","LOC411843",0.384069382856255
"LOC552791","LOC552791",0.556230299497323
"LOC411845","LOC411845",0.856758358879563
"LOC411599","LOC411599",0.839634521458163
"LOC411846","LOC411846",0.881904742626185
"LOC411597","LOC411597",0.795045446156983
"LOC411596","LOC411596",0.584146867495162
"LOC411595","LOC411595",0.674325863114437
"LOC411591","LOC411591",0.861081788943537
"LOC413995","LOC413995",0.981228757045132
"LOC413994","LOC413994",0.884366857354842
"LOC413997","LOC413997",0.517210804122609
"LOC100578173","LOC100578173",0.793846333134038
"LOC100578172","LOC100578172",0.953691678691679
"LOC100577651","LOC100577651",0.548715764828961
"LOC100578170","LOC100578170",0.838178759263097
"LOC100578177","LOC100578177",0.821942567733205
"LOC100577656","LOC100577656",0.753859026022813
"LOC100577655","LOC100577655",0.951401015807795
"LOC100577654","LOC100577654",0.924242424242424
"LOC552790","LOC552790",0.408239436853994
"EphR","EphR",0.777926440429322
"LOC410420","LOC410420",0.645962098148467
"LOC410422","LOC410422",0.663464691917444
"LOC410423","LOC410423",0.631375368723073
"LOC410424","LOC410424",0.583220191627394
"LOC410425","LOC410425",0.808269056864727
"LOC410427","LOC410427",0.502794595908939
"LOC410428","LOC410428",0.722484878502709
"LOC410429","LOC410429",0.403381260281232
"LOC727111","LOC727111",0.977134041974247
"LOC727110","LOC727110",0.952584402074564
"LOC727116","LOC727116",0.472505928853755
"LOC727443","LOC727443",0.353248176423993
"LOC727442","LOC727442",0.668933548203621
"LOC724141","LOC724141",0.832546244968527
"LOC724140","LOC724140",1
"LOC724142","LOC724142",0.293985680175426
"LOC724145","LOC724145",0.774809032149752
"LOC724144","LOC724144",0.288451631658295
"LOC724146","LOC724146",0.949380236608404
"LOC724148","LOC724148",0.813919910934836
"LOC107964834","LOC107964834",0.968158744808491
"LOC107964835","LOC107964835",0.407774416559117
"LOC107964836","LOC107964836",0.515553555355536
