"","Gene","larva","pupa","head","thorax","abdomen","DEcat","FDR","conn"
"30","LOC105828369",-0.327707682226608,-0.211905874104377,-0.672718747015003,-6.11167872198895,-7.21190826084705,"queen",9.41915569133356e-11,58.4253079784925
"31","LOC105828382",-0.416496272090981,0.155536045073386,2.11178756115406,-0.267343169792184,-3.47687110699861,"queen",6.15312223355058e-06,73.4727474552249
"32","LOC105828383",-0.285661968682246,-0.818328342745457,-0.927053544852185,0.695277562485112,-4.54175419985122,"queen",1.61841494309491e-07,210.287670914767
"33","LOC105828388",0.0667473062425974,0.156308003379898,0.615153108373175,-0.615485562363524,-1.77488528175909,"queen",0.000611065718767626,112.022868695946
"34","LOC105828393",-0.763212910223273,-0.13819714682033,0.647548232852659,0.580942917994245,-3.07229006578905,"queen",0.000259591671104829,90.1336668354981
"35","LOC105828403",-0.416131117132084,-0.874022364285067,-1.0106202022214,0.961102680244389,-2.45094983666639,"queen",0.00187488540509708,123.347472370356
"36","LOC105828413",0.10538899545753,-0.293777644399653,0.0603803434984984,-0.0377951740682824,-1.40543449986776,"queen",0.00251253598774542,128.277575887056
"37","LOC105828448",0.709735013169819,0.642682885225052,3.59060129932841,3.06734698884787,6.36650036647366,"worker",0.00109884908665733,2.92568698894249
"38","LOC105828452",-0.751291464129708,1.51207641965438,1.00432087830985,-1.28099412517498,0.352593506269422,"non-DE",0.519513140138342,7.9655035296416
"39","LOC105828458",0.0476919654672061,2.06796585829308,0.919564597766357,0.446264465414191,-2.25250342905322,"queen",0.0361309405688177,153.075609106409
"40","LOC105828473",-0.0418606144448026,-0.179562251690961,0.215796878354411,1.52480502291625,-2.28587807435046,"queen",5.89440510904684e-07,24.8707364864247
"41","LOC105828504",0.521040705985941,0.900336782196562,0.446569772905396,0.92131787915876,-1.79699446197215,"queen",0.00175120492447001,60.1821436563688
"42","LOC105828518",1.34486644665829,2.54505415134766,-1.08367473007915,0.689293438746945,-4.31504411417148,"queen",1.04832973987876e-13,1.74286544365568
