"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"426",0,7,132,1,142,1,0,0,0
"427",0,4,0,2,0,47,0,0,0
"428",0,2,0,0,4,0,0,0,0
"429",69,0,4,0,13,0,0,0,0
"430",0,0,15,0,0,76,0,0,0
"431",1,583,0,5,0,0,0,0,0
"432",0,0,0,2,0,0,0,0,0
"433",66,386,20,1,3,186,0,0,0
"434",0,0,0,9,1,1,0,0,0
"435",0,0,0,1,0,1,0,0,0
"436",144,0,0,5,0,0,0,0,0
"437",35,0,0,0,0,0,0,0,0
"438",0,8,0,11,0,0,0,0,0
"439",17,265,0,0,96,0,0,9,0
"440",1,0,186,4,123,57,0,0,0
"441",0,0,96,0,238,0,0,0,0
"442",0,1,73,11,1,1,0,0,0
"443",0,0,0,4,0,8,0,0,0
"444",12,28,0,1,95,0,0,0,0
"445",21,583,0,18,6,2,0,1,0
"446",2,9,141,1,0,3,0,0,0
"447",0,0,15,0,120,1,0,0,0
"448",1,0,7,58,0,15,0,0,0
"449",28,0,0,0,0,0,0,0,0
"450",20,0,4,0,0,35,0,0,0
"451",1,1,0,7,6,1,0,0,0
"452",0,1,0,0,6,0,0,0,0
"453",0,8,0,1,0,23,0,0,0
"454",0,5,4,31,4,62,0,0,0
"455",15,5,0,9,0,176,0,0,0
"456",0,14,1,1,0,21,0,0,0
"457",0,0,4,4,0,49,0,0,0
"458",17,0,0,27,0,0,0,0,0
"459",0,0,115,0,120,0,0,0,0
"460",3,0,0,7,0,0,0,0,0
"461",0,636,0,0,12,0,0,1,0
"462",31,0,0,0,2,0,0,0,0
"463",10,0,0,51,0,0,0,0,0
"464",0,0,0,0,1,36,0,0,0
"465",0,0,0,0,0,263,0,0,0
"466",13,1,0,178,0,0,1,0,0
"467",0,0,48,0,23,36,0,0,0
"468",24,0,0,7,224,244,1,0,0
"469",0,12,7,0,0,0,0,0,0
"470",0,361,0,91,0,0,0,0,0
"471",27,302,0,0,0,0,0,0,0
"472",0,0,2,11,0,0,0,0,0
"473",0,0,0,0,2,50,0,0,0
"474",0,0,0,0,5,0,0,0,0
"475",0,1,6,0,1,65,0,0,0
"476",0,0,0,0,3,1,0,0,0
"477",0,7,22,30,2,49,0,0,0
"478",0,0,222,1,4,0,0,0,0
"479",0,497,16,13,0,0,0,0,0
"480",0,9,0,1,36,0,0,0,0
"481",0,0,0,2,0,0,0,0,0
"482",21,0,0,1,1,20,0,0,0
"483",139,0,1,1,5,48,0,0,0
"484",17,0,0,28,0,0,0,0,0
"485",0,16,52,0,0,0,0,0,0
"486",0,382,23,0,0,0,0,0,0
"487",1,0,0,0,3,1,0,0,0
"488",4,0,0,0,0,2,0,0,0
"489",0,14,0,0,0,32,0,0,0
"490",0,732,0,0,0,0,0,0,0
