"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"328",347,0,0,0,19,0,0,0,0
"329",347,699,0,7,2,0,0,2,0
"330",1,4,0,8,0,0,0,0,0
"331",0,0,3,0,2,1,0,0,0
"332",0,4,0,7,206,0,0,0,0
"333",2,4,0,0,19,168,0,0,0
"334",347,699,0,0,206,0,0,29,0
"335",0,4,0,0,1,0,0,0,0
"336",347,0,0,0,19,0,0,0,0
"337",347,4,3,2,2,0,0,0,0
"338",2,0,0,0,206,1,0,0,0
"339",347,0,3,7,0,102,0,0,0
"340",1,4,3,8,2,0,0,0,0
"341",38,4,3,0,6,0,0,0,0
"342",0,4,871,0,206,0,0,0,0
"343",0,0,871,0,19,0,0,0,0
"344",0,0,0,140,19,0,0,0,0
"345",38,0,0,0,6,168,0,0,0
"346",38,4,3,7,2,102,0,0,0
"347",38,699,0,7,1,0,0,0,0
"348",2,0,3,0,19,0,0,0,0
"349",347,0,3,143,19,102,16,0,0
"350",2,4,0,7,1,0,0,0,0
"351",2,0,871,7,0,168,0,0,7
"352",0,0,0,0,2,0,0,0,0
"353",2,0,0,7,19,0,0,0,0
"354",347,0,871,7,2,1,0,0,0
"355",2,0,0,8,6,102,0,0,0
"356",347,0,0,7,19,102,0,0,0
"357",2,4,3,2,1,1,0,0,0
"358",0,0,0,8,1,0,0,0,0
"359",347,0,871,0,1,0,0,0,0
"360",2,4,0,0,0,0,0,0,0
"361",0,0,0,7,19,0,0,0,0
"362",2,4,0,8,6,0,0,0,0
"363",38,4,0,2,0,102,0,0,0
"364",347,4,0,8,0,0,1,0,0
"365",2,0,0,0,0,102,0,0,0
"366",2,0,3,8,19,0,0,0,0
"367",38,0,3,140,2,102,1,0,0
"368",38,699,0,7,1,0,0,0,0
"369",0,4,3,7,0,0,0,0,0
"370",2,0,0,0,19,0,0,0,0
"371",1,0,0,0,2,1,0,0,0
"372",347,0,0,0,19,102,0,0,0
"373",1,4,0,143,2,0,0,0,0
"374",0,4,0,7,2,102,0,0,0
"375",38,0,0,7,2,102,0,0,0
"376",38,0,3,7,2,0,0,0,0
"377",0,0,0,8,1,0,0,0,0
"378",0,699,0,2,2,0,0,2,0
"379",0,0,3,2,6,168,0,0,0
"380",38,0,0,7,0,0,0,0,0
"381",0,4,0,0,1,0,0,0,0
"382",0,0,0,7,6,0,0,0,0
"383",38,0,0,140,2,0,1,0,0
"384",0,0,0,2,0,0,0,0,0
"385",0,0,0,143,19,0,0,0,0
"386",38,699,0,0,19,0,0,2,0
"387",38,0,0,2,1,0,0,0,0
"388",347,0,3,0,1,168,0,0,0
"389",2,4,0,7,0,0,0,0,0
"390",1,4,0,7,6,0,0,0,0
"391",38,699,0,8,2,102,0,2,0
"392",0,0,0,8,19,168,0,0,0
"393",0,699,0,8,19,0,0,2,0
"394",38,0,3,7,19,102,0,0,0
"395",0,0,0,2,2,102,0,0,0
"396",2,0,871,0,0,168,0,0,7
"397",0,0,0,2,2,102,0,0,0
"398",0,0,0,0,1,102,0,0,0
"399",0,0,0,143,2,0,0,0,0
"400",0,0,871,7,2,0,0,0,0
"401",347,4,871,0,0,168,0,0,7
"402",0,0,0,0,19,0,0,0,0
"403",2,0,3,140,0,0,0,0,0
"404",0,0,0,0,2,0,0,0,0
"405",0,0,3,0,1,168,0,0,0
"406",38,4,3,2,2,0,0,0,0
"407",347,0,0,140,19,168,17,0,0
"408",0,0,871,8,206,0,0,0,0
"409",0,0,0,2,206,1,0,0,0
"410",0,0,0,0,206,0,0,0,0
"411",38,4,0,7,6,102,0,0,0
"412",0,4,0,0,6,0,0,0,0
"413",38,0,0,0,2,102,0,0,0
"414",1,0,0,2,19,0,0,0,0
"415",1,0,871,7,2,168,0,0,7
"416",0,699,3,7,19,0,0,2,0
"417",0,0,0,0,6,0,0,0,0
"418",1,0,0,8,2,168,0,0,0
"419",0,0,871,0,0,0,0,0,0
"420",1,4,0,0,6,168,0,0,0
"421",0,0,0,0,1,0,0,0,0
"422",0,699,0,0,2,0,0,2,0
"423",0,4,3,8,0,168,0,0,0
"424",0,0,0,8,6,0,0,0,0
"425",1,0,3,0,0,0,0,0,0
"426",2,0,0,0,0,0,0,0,0
"427",2,699,0,0,2,102,0,2,0
"428",2,699,3,140,2,102,0,2,0
"429",0,0,871,7,206,0,0,0,0
"430",0,0,0,7,1,102,0,0,0
"431",38,0,0,2,206,0,0,0,0
"432",38,4,0,0,0,0,0,0,0
"433",0,4,0,2,6,0,0,0,0
"434",347,0,0,0,19,0,0,0,0
"435",2,699,0,143,2,102,0,2,0
"436",2,0,0,0,6,0,0,0,0
"437",0,0,0,0,19,0,0,0,0
"438",0,0,0,8,1,0,0,0,0
"439",2,0,0,143,19,0,0,0,0
"440",0,0,0,8,0,168,0,0,0
"441",347,699,0,0,206,168,0,29,0
"442",1,0,0,7,6,1,0,0,0
"443",38,0,0,2,2,102,0,0,0
"444",0,0,0,0,206,1,0,0,0
"445",38,699,0,7,1,0,0,0,0
"446",347,0,0,7,1,102,0,0,0
"447",1,0,0,0,0,0,0,0,0
"448",0,0,3,8,19,0,0,0,0
"449",0,0,0,8,2,102,0,0,0
"450",0,4,0,0,2,0,0,0,0
"451",0,699,0,0,6,0,0,0,0
"452",1,4,0,0,19,0,0,0,0
"453",347,0,3,0,6,0,0,0,0
"454",347,0,3,0,0,102,0,0,0
"455",38,0,0,8,19,0,0,0,0
"456",0,0,0,8,206,102,0,0,0
"457",38,0,0,2,6,0,0,0,0
"458",38,4,3,2,2,0,0,0,0
"459",1,0,0,0,19,0,0,0,0
"460",1,0,0,8,6,1,0,0,0
"461",0,0,0,0,206,0,0,0,0
"462",1,4,0,0,19,102,0,0,0
"463",38,4,0,0,0,168,0,0,0
"464",1,0,0,8,19,102,0,0,0
"465",38,0,0,0,2,1,0,0,0
"466",2,0,0,2,19,102,0,0,0
"467",0,0,0,7,19,0,0,0,0
"468",2,0,0,0,19,102,0,0,0
"469",1,0,0,0,2,102,0,0,0
"470",1,4,0,8,206,0,0,0,0
"471",0,4,3,2,6,0,0,0,0
"472",2,4,871,8,19,102,0,0,6
